07-21-2026 21:07:45 RAM 1773/7546MB (lfb 127x4MB) SWAP 2549/8192MB (cached 106MB) CPU [20%@1728,5%@1728,0%@1728,10%@1728,4%@729,4%@729] GR3D_FREQ 0% cpu@52.406C/52.75C soc2@51.656C/52C soc0@52.437C/52.937C gpu@52.968C/53.375C tj@52.968C/53.375C soc1@52.875C/53.187C VDD_IN 5729mW/5223mW/5729mW VDD_CPU_GPU_CV 1720mW/1541mW/1720mW VDD_SOC 1360mW/1227mW/1360mW
07-21-2026 21:07:46 RAM 1774/7546MB (lfb 109x4MB) SWAP 2549/8192MB (cached 106MB) CPU [40%@729,5%@729,5%@729,4%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@52.218C/52.75C soc2@51.625C/52C soc0@52.593C/52.937C gpu@52.781C/53.375C tj@52.781C/53.375C soc1@52.75C/53.187C VDD_IN 5649mW/5232mW/5729mW VDD_CPU_GPU_CV 1680mW/1544mW/1720mW VDD_SOC 1320mW/1229mW/1360mW
07-21-2026 21:07:46 RAM 1771/7546MB (lfb 92x4MB) SWAP 2549/8192MB (cached 106MB) CPU [31%@729,5%@729,4%@729,18%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@52.375C/52.75C soc2@51.718C/52C soc0@52.468C/52.937C gpu@52.812C/53.375C tj@52.812C/53.375C soc1@52.812C/53.187C VDD_IN 5649mW/5241mW/5729mW VDD_CPU_GPU_CV 1720mW/1548mW/1720mW VDD_SOC 1320mW/1231mW/1360mW
07-21-2026 21:07:46 RAM 1772/7546MB (lfb 75x4MB) SWAP 2549/8192MB (cached 106MB) CPU [37%@729,9%@729,13%@729,10%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@52.406C/52.75C soc2@51.75C/52C soc0@52.531C/52.937C gpu@52.937C/53.375C tj@52.937C/53.375C soc1@53.031C/53.187C VDD_IN 5608mW/5249mW/5729mW VDD_CPU_GPU_CV 1680mW/1551mW/1720mW VDD_SOC 1320mW/1233mW/1360mW
07-21-2026 21:07:46 RAM 1773/7546MB (lfb 58x4MB) SWAP 2549/8192MB (cached 106MB) CPU [63%@1113,14%@1113,5%@1113,0%@1113,4%@729,4%@729] GR3D_FREQ 0% cpu@52.25C/52.75C soc2@51.75C/52C soc0@52.656C/52.937C gpu@53.093C/53.375C tj@53.093C/53.375C soc1@52.718C/53.187C VDD_IN 5689mW/5258mW/5729mW VDD_CPU_GPU_CV 1720mW/1554mW/1720mW VDD_SOC 1320mW/1234mW/1360mW
07-21-2026 21:07:46 RAM 1774/7546MB (lfb 58x4MB) SWAP 2549/8192MB (cached 106MB) CPU [14%@729,9%@729,0%@729,23%@729,13%@1113,0%@1113] GR3D_FREQ 0% cpu@52.125C/52.75C soc2@51.656C/52C soc0@52.437C/52.937C gpu@52.593C/53.375C tj@52.75C/53.375C soc1@52.75C/53.187C VDD_IN 5729mW/5267mW/5729mW VDD_CPU_GPU_CV 1720mW/1558mW/1720mW VDD_SOC 1360mW/1237mW/1360mW
07-21-2026 21:07:47 RAM 1773/7546MB (lfb 58x4MB) SWAP 2549/8192MB (cached 106MB) CPU [0%@1113,0%@1113,9%@1113,9%@1113,21%@1728,19%@1728] GR3D_FREQ 0% cpu@52.406C/52.75C soc2@51.687C/52C soc0@52.437C/52.937C gpu@52.968C/53.375C tj@52.812C/53.375C soc1@52.812C/53.187C VDD_IN 5809mW/5278mW/5809mW VDD_CPU_GPU_CV 1760mW/1562mW/1760mW VDD_SOC 1360mW/1239mW/1360mW
07-21-2026 21:07:47 RAM 1773/7546MB (lfb 58x4MB) SWAP 2549/8192MB (cached 106MB) CPU [10%@1113,9%@1113,0%@1113,21%@1113,0%@729,9%@729] GR3D_FREQ 0% cpu@52.25C/52.75C soc2@51.625C/52C soc0@52.687C/52.937C gpu@52.687C/53.375C tj@52.687C/53.375C soc1@52.562C/53.187C VDD_IN 5849mW/5289mW/5849mW VDD_CPU_GPU_CV 1720mW/1565mW/1760mW VDD_SOC 1400mW/1242mW/1400mW
07-21-2026 21:07:47 RAM 1772/7546MB (lfb 58x4MB) SWAP 2549/8192MB (cached 106MB) CPU [25%@729,19%@729,5%@729,13%@729,13%@729,4%@729] GR3D_FREQ 0% cpu@52.281C/52.75C soc2@51.625C/52C soc0@52.468C/52.937C gpu@52.781C/53.375C tj@52.781C/53.375C soc1@52.718C/53.187C VDD_IN 5849mW/5300mW/5849mW VDD_CPU_GPU_CV 1720mW/1568mW/1760mW VDD_SOC 1400mW/1245mW/1400mW
07-21-2026 21:07:47 RAM 1771/7546MB (lfb 58x4MB) SWAP 2549/8192MB (cached 106MB) CPU [18%@1728,22%@1728,9%@1728,5%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@52.468C/52.75C soc2@51.562C/52C soc0@52.5C/52.937C gpu@52.937C/53.375C tj@53C/53.375C soc1@52.625C/53.187C VDD_IN 5689mW/5307mW/5849mW VDD_CPU_GPU_CV 1680mW/1570mW/1760mW VDD_SOC 1360mW/1247mW/1400mW
